64	AJAGBE HIGH SCHOOL IPERU (COMBINED)	IKENNE
65	AKESAN COMMUNITY GRAMMAR  SCHOOL, IPERU-REMO (COMBINED)	IKENNE
66	IROLU COMMUNITY HIGH SCHOOL, IROLU (COMBINED)	IKENNE
67	OGERE COMMUNITY HIGH SCHOOL OGERE REMO (COMBINED)	IKENNE
68	ALAGBE COMMUNITY HIGH SCHOOL, ALAGBE (COMBINED)	IMEKO AFON
69	COMMUNITY COMPREHENSIVE COLLEGE, IDOFA (COMBINED)	IMEKO AFON
70	COMMUNITY COMPREHENSIVE HIGH SCHOOL, ATAPELE (COMBINED)	IMEKO AFON
71	COMMUNITY HIGH SCHOOL, AFON (COMBINED)	IMEKO AFON
72	COMMUNITY HIGH SCHOOL, MORIWI (COMBINED)	IMEKO AFON
73	MUSLIM GRAMMAR SCHOOL, IMEKO (COMBINED)	IMEKO AFON
74	MUSLIM HIGH SCHOOL, ILARA-YEWA`(COMBINED)	IMEKO AFON
75	OBADA GRAMMAR SCHOOL, OBADA (COMBINED)	IMEKO AFON
76	AGUDE COMMUNIITY HIGH SCHOOL, ONIRO (COMBINED)	IPOKIA
77	COMMUNITY HIGH SCHOOL, AGADA (COMBINED)	IPOKIA
78	DISTRICT HIGH SCHOOL, IPOKIA (COMBINED)	IPOKIA
79	OGBE COMMUNITY HIGH SCHOOL, MEDE-AJEGUNLE (COMBINED)	IPOKIA
80	TAYESE COMMUNITY SECONDARY SCHOOL, IBATEFIN (COMBINED)	IPOKIA
81	ALAPAKO-ONI COMMUNITY HIGH SCHOOL (COMBINED), ALAPAKO-ONI	OBAFEMI OWODE
82	COMMUNITY HIGH SCHOOL (COMBINED), IRO	OBAFEMI OWODE
83	COMMUNITY HIGH SCHOOL (COMBINED), ABAREN	OBAFEMI OWODE
84	COMMUNITY HIGH SCHOOL (COMBINED), ADESAN-OLU, MOWE	OBAFEMI OWODE
85	KOBAPE COMMUNITY HIGH SCHOOL (COMBINED), KOBAPE	OBAFEMI OWODE
86	MAGBORO COMMUNITY HIGH SCHOOL (COMBINED), MAGBORO-AKERAN	OBAFEMI OWODE
87	OBA COMMUNITY COMPREHENSIVE HIGH SCHOOL, (COMBINED), OBA	OBAFEMI OWODE
88	OLORUNKOLE GRAMMAR SCHOOL (COMBINED), KAJOLA	OBAFEMI OWODE
89	ORILE IGBORE GRAMMAR SCHOOL (COMBINED), AJURA	OBAFEMI OWODE
90	ALABATA COMMUNITY HIGH SCHOOL, ALABATA  (COMBINED)	ODEDA
91	ALAGBAGBA COMMUNITY HIGH SCHOOL, ALAGBAGBA  (COMBINED)	ODEDA
92	MUSLIM HIGH SCHOOL, ISOLU  (COMBINED)	ODEDA
93	OLOKEMEJI HIGH SCHOOL (COMBINED)	ODEDA
94	AIYEPE COMPREHENSIVE HIGH SCH, AYEPE (COMBINED)	ODOGBOLU
95	COMMUNITY GRAMMAR SCHOOL, AIYEPE (COMBINED)	ODOGBOLU
96	IDOWA COMPREHENSIVE HIGH SCHOOL IDOWA (COMBINED)	ODOGBOLU
97	IFESOWAPO COMPREHENSIVE HIGH SCHOOL, IMOSAN (COMBINED)	ODOGBOLU
98	IJEBU SOUTH DISTRICT GRAMMAR SCH, ALA (COMBINED)	ODOGBOLU
99	IMAGBO/IMAKA COMPREHENSIVE HIGH SCHOOL IMAGBON (COMBINED)	ODOGBOLU
100	TITILAYO AGBAJE MEMORIAL COMPREHENSIVE SCHOOL (COMBINED)	ODOGBOLU
101	IKANGBA COMPREHENSIVE HIGH SCHOOL, IKANGBA (COMBINED)	ODOGBOLU
102	IMODI IJASI COMPREHENSIVE HIGH SCHOOL, IMODI IJAS (COMBINED)	ODOGBOLU
103	MORAIKA COMPREHENSIVE HIGH SCHOOL, MORAIKA (COMBINED)	ODOGBOLU
104	AYEDE COMPREHENSIVE HIGH SCHOOL, AYEDE (COMBINED)	OGUN WATERSIDE
105	COMMUNITY GRAMMAR SCHOOL, ABIGI (COMBINED)	OGUN WATERSIDE
106	EFIRE COMMUNITY HIGH SCHOOL,EFIRE (COMBINED)	OGUN WATERSIDE
107	IBU COMMUNITY GRAM SCHOOL, IBU (COMBINED)	OGUN WATERSIDE
108	LOMIRO HIGH SCHOOL, LOMIRO (COMBINED)	OGUN WATERSIDE
109	MAKUN OMI COMPREHENSIVE HIGH SCHOOL,MAKUN OMI (COMBINED)	OGUN WATERSIDE
110	ODE-OMI COMMUNITY HIGH SCHOOL (COMBINED)	OGUN WATERSIDE
111	IPARA COMMUNITY HIGH SCHOOL, IPARA (COMBINED)	REMO NORTH
112	ISARA SECONDARY SCHOOL, ISARA (COMBINED)	REMO NORTH
113	IYANKAN HIGH SCHOOL (COMBINED), IYANKAN ISARA	REMO NORTH
114	ORILE -  OKO COMMUNITY HIGH SCHOOL, ORILE -OKO (COMBINED)	REMO NORTH
115	SAAPADE GRAMMAR SCHOOL, SAAPADE (COMBINED)	REMO NORTH
116	AGBELE COMMUNITY HIGH SCHOOL, SAGAMU (COMBINED)	SAGAMU
