NAME OF SCHOOL
"IGIRI HIGH SCHOOL,  IJOFIN"
"ALAARI HIGH SCHOOL, ALAARI "
"IMOTU COMMUNITY COMMERCIAL ACADEMY, IFONYINTEDO"
"COMMUNITY COMMERCIAL HIGH SCHOOL, MAUN"
"COMMUNITY SECONDARY SCHOOL, IPOKIA"
"IKO GATEWAY GRAMMAR SCHOOL, IDIROKO"
OJUMO COMMUNITY SECONDARY SCHOOL IHUNBO 
"COMMUNITY HIGH SCHOOL, TUBE"
"AGOSASA COMMUNITY HIGH SCHOOL, AGOSASA"
"IGIRI HIGH SCHOOL,  IJOFIN"
"ALAARI HIGH SCHOOL, ALAARI "
"IMOTU COMMUNITY COMMERCIAL ACADEMY, IFONYINTEDO"
"AGUDE COMMUNIITY HIGH SCHOOL, ONIRO"
"DISTRICT HIGH SCHOOL, IPOKIA "
"OGBE COMMUNITY HIGH SCHOOL, MEDE-AJEGUNLE"
"TAYESE COMMUNITY SECONDARY SCHOOL, IBATEFIN"
"COMMUNITY HIGH SCHOOL, AGADA"
"MAYIGI COMMUNITY COMPREHENSIVE HIGH SCHOOL, ILASE"
COMPREHENSIVE HIGH SCHOOL (JNR) IJEBU IFE
ITELE HIGH SCHOOL (JNR) ITELE IJEBU
ST. ANTHONY'S GRAMMAR SCHOOL(JNR) ESURE IJEBU IMUSIN
ST. BRENDAN'S GRAMMAR SCHOOL(JNR)OGBERE
COMPREHENSIVE HIGH SCHOOL (SNR) IJEBU IFE
ITELE HIGH SCHOOL (SNR) ITELE IJEBU
ST. ANTHONY'S GRAMMAR SCHOOL (SNR) ESURE IJEBU IMUSIN
ST. BRENDAN'S GRAMMAR SCHOOL (SNR)OGBERE
